UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
3416,,,301.4,310.4,7.365180126021013,36.9,133.0,0.0,0.0,0.0,0.0,0.0,0.0
7130,,,300.6,310.0,7.400009517162692,31.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,,,299.2,308.8,7.438971592395862,33.5,185.0,0.0,0.0,0.0,0.0,0.0,0.0
9601,,,298.9,310.0,7.3537223303996315,45.3,58.0,0.0,0.0,0.0,0.0,0.0,0.0
614,,,298.1,309.9,7.399398083331354,30.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
4602,,,303.0,311.1,7.224753405767971,54.3,117.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0
7008,,,300.5,310.6,7.313220387090301,45.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0
9375,,,297.8,308.5,7.2909747781429814,44.7,88.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,,,297.8,310.1,7.278628942320682,51.2,107.0,0.0,0.0,0.0,0.0,0.0,0.0
5551,,,302.3,311.9,7.319202458767849,42.3,159.0,0.0,0.0,0.0,0.0,0.0,0.0
8974,,,296.8,307.4,7.346010209913293,48.3,105.0,0.0,0.0,0.0,0.0,0.0,0.0
4228,,,302.2,310.8,7.232733136177615,46.9,45.0,0.0,0.0,0.0,0.0,0.0,0.0
1489,,,298.2,309.1,7.358193752733032,36.3,166.0,0.0,0.0,0.0,0.0,0.0,0.0
8525,,,298.3,309.4,7.292337176173877,46.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0
4295,,,301.7,310.1,7.463936604468925,27.3,210.0,0.0,0.0,0.0,0.0,0.0,0.0
6809,,,301.0,310.7,7.238496840894365,45.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0
4205,,,302.3,310.9,7.329093736246592,43.2,210.0,0.0,0.0,0.0,0.0,0.0,0.0
7298,,,300.1,310.5,7.313886831633462,39.8,107.0,0.0,0.0,0.0,0.0,0.0,0.0
8571,,,297.9,308.7,7.343426229147367,35.9,120.0,0.0,0.0,0.0,0.0,0.0,0.0
8193,,,299.6,310.9,7.114769448366463,65.2,209.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0
4359,,,302.0,309.9,7.382124365737512,34.5,156.0,0.0,0.0,0.0,0.0,0.0,0.0
5823,,,301.3,311.0,7.288927694521257,50.2,214.0,0.0,0.0,0.0,0.0,0.0,0.0
1624,,,297.7,310.1,7.561121589530238,22.9,68.0,0.0,0.0,0.0,0.0,0.0,0.0
8182,,,299.7,311.2,7.515344571180436,23.7,183.0,0.0,0.0,0.0,0.0,0.0,0.0
1576,,,298.2,308.3,7.629489916393995,18.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
263,,,298.1,308.2,7.459914766241105,26.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0
9944,,,298.3,308.0,7.4770384723196965,26.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
4296,,,301.8,310.2,7.284820912568604,40.4,213.0,0.0,0.0,0.0,0.0,0.0,0.0
7969,,,300.9,312.2,7.502186486602924,23.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,,,298.3,308.1,7.396948602621014,32.7,83.0,0.0,0.0,0.0,0.0,0.0,0.0
5712,,,302.2,311.6,7.343426229147367,35.9,152.0,0.0,0.0,0.0,0.0,0.0,0.0
6409,,,300.3,309.9,7.379008127628304,31.7,180.0,0.0,0.0,0.0,0.0,0.0,0.0
4084,,,302.0,310.4,7.357556200910353,36.4,114.0,0.0,0.0,0.0,0.0,0.0,0.0
1469,,,298.6,309.8,7.258412150595307,44.9,115.0,0.0,0.0,0.0,0.0,0.0,0.0
6247,,,300.8,310.3,7.284820912568604,46.8,182.0,0.0,0.0,0.0,0.0,0.0,0.0
3791,,,302.3,310.9,7.253470382684528,48.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0
6594,,,301.6,310.7,7.426549072397305,29.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
547,,,297.5,309.4,7.501082124259871,24.3,110.0,0.0,0.0,0.0,0.0,0.0,0.0
7874,,,300.7,312.4,7.293697720601438,38.6,56.0,0.0,0.0,0.0,0.0,0.0,0.0
7321,,,299.8,310.2,7.252762418053187,49.7,161.0,0.0,0.0,0.0,0.0,0.0,0.0
7296,,,300.1,310.5,7.1929342212158,57.4,99.0,0.0,0.0,0.0,0.0,0.0,0.0
7919,,,300.8,312.1,7.317212408359839,41.3,173.0,0.0,0.0,0.0,0.0,0.0,0.0
